Volatility 3 Framework 2.7.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created
0xbf0f6abc7260	UDPv4	127.0.0.1	64463	*	0		432	svchost.exe	2021-04-30 17:41:57.000000 
0xbf0f6abc8b60	UDPv4	10.0.2.15	64462	*	0		432	svchost.exe	2021-04-30 17:41:57.000000 
0xbf0f6abc8cf0	UDPv6	fe80::417e:4ac4:e8ea:c3fb	64460	*	0		432	svchost.exe	2021-04-30 17:41:57.000000 
0xbf0f6abc9010	UDPv4	0.0.0.0	3544	*	0		3088	svchost.exe	2021-04-30 17:41:57.000000 
0xbf0f6abcfd70	UDPv4	10.0.2.15	54758	*	0		3088	svchost.exe	2021-04-30 17:43:21.000000 
0xbf0f6ad16050	TCPv4	10.0.2.15	49829	142.250.191.208	443	ESTABLISHED	5624	svchost.exe	2021-04-30 17:49:58.000000 
0xbf0f6ad1fad0	TCPv4	10.0.2.15	49847	52.230.222.68	443	ESTABLISHED	2812	svchost.exe	2021-04-30 17:52:17.000000 
0xbf0f6bf9c8a0	TCPv4	10.0.2.15	49844	172.217.9.46	80	CLOSED	5624	svchost.exe	2021-04-30 17:51:35.000000 
0xbf0f6bfb7890	UDPv4	10.0.2.15	138	*	0		4	System	2021-04-30 12:39:44.000000 
0xbf0f6bfb9640	UDPv4	10.0.2.15	137	*	0		4	System	2021-04-30 12:39:44.000000 
0xbf0f6c0cbce0	UDPv4	10.0.2.15	54636	*	0		3088	svchost.exe	2021-04-30 17:44:01.000000 
0xbf0f6c6352b0	TCPv4	10.0.2.15	49842	52.113.196.254	443	ESTABLISHED	5104	SearchApp.exe	2021-04-30 17:51:25.000000 
0xbf0f6c69f6a0	UDPv4	127.0.0.1	55787	*	0		3088	svchost.exe	2021-04-30 17:39:47.000000 
0xbf0f6c7104d0	TCPv4	10.0.2.15	49778	185.70.41.130	443	ESTABLISHED	1840	chrome.exe	2021-04-30 17:45:00.000000 
0xbf0f6c85bb20	TCPv4	10.0.2.15	49775	185.70.41.35	443	FIN_WAIT2	1840	chrome.exe	2021-04-30 17:44:58.000000 
0xbf0f6c8a11a0	UDPv4	0.0.0.0	5050	*	0		4128	svchost.exe	2021-04-30 17:39:48.000000 
0xbf0f6ca71a20	TCPv4	10.0.2.15	49769	142.250.190.14	443	CLOSE_WAIT	1840	chrome.exe	2021-04-30 17:44:55.000000 
